
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.000u      0.000s      5.430w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.708w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.127w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.162w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.040w     80 calls
HF: Guess                           :      0.000u      0.000s     10.526w     80 calls
SAD Guess                           :      0.000u      0.000s     10.320w     80 calls
HF: Form G                          :      0.000u      0.000s      0.457w    703 calls
JK: D                               :      0.000u      0.000s      0.017w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.041w    703 calls
JK: JK                              :      0.000u      0.000s      0.337w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.331w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.093w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.200w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.014w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.361w    623 calls
HF: Form C                          :      0.000u      0.000s      1.260w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.116w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.740w     80 calls
DFH: initialize()                   :      0.000u      0.000s      5.430w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.503w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.708w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.127w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.162w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.040w     80 calls
HF: Guess                           :      0.000u      0.000s     10.526w     80 calls
| SAD Guess                         :      0.000u      0.000s     10.320w     80 calls
HF: Form G                          :      0.000u      0.000s      0.457w    703 calls
| JK: D                             :      0.000u      0.000s      0.017w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.041w    703 calls
| JK: JK                            :      0.000u      0.000s      0.337w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.331w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.093w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.200w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.014w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.361w    623 calls
HF: Form C                          :      0.000u      0.000s      1.260w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:29 2023
Timers Off: Sun Nov 12 11:30:24 2023

Wall Time:      115.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.040w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.261w    240 calls
DFH: initialize()                   :      0.000u      0.000s      5.276w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.640w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.146w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.192w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.054w     80 calls
HF: Guess                           :      0.000u      0.000s     11.723w     80 calls
SAD Guess                           :      0.000u      0.000s     11.462w     80 calls
HF: Form G                          :      0.000u      0.000s      0.690w    703 calls
JK: D                               :      0.000u      0.000s      0.017w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.043w    703 calls
JK: JK                              :      0.000u      0.000s      0.530w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.523w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.090w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.397w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.030w    703 calls
HF: Form F                          :      0.000u      0.000s      0.087w    703 calls
HF: Form D                          :      0.000u      0.000s      0.014w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.725w    623 calls
HF: Form C                          :      0.000u      0.000s      0.999w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.040w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.741w     80 calls
DFH: initialize()                   :      0.000u      0.000s      5.276w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.520w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.640w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.146w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.192w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.054w     80 calls
HF: Guess                           :      0.000u      0.000s     11.723w     80 calls
| SAD Guess                         :      0.000u      0.000s     11.462w     80 calls
HF: Form G                          :      0.000u      0.000s      0.690w    703 calls
| JK: D                             :      0.000u      0.000s      0.017w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.043w    703 calls
| JK: JK                            :      0.000u      0.000s      0.530w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.523w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.090w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.397w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.030w    703 calls
HF: Form F                          :      0.000u      0.000s      0.087w    703 calls
HF: Form D                          :      0.000u      0.000s      0.014w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.725w    623 calls
HF: Form C                          :      0.000u      0.000s      0.999w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:26 2023
Timers Off: Sun Nov 12 11:30:25 2023

Wall Time:      118.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:26 2023
Timers Off: Sun Nov 12 11:30:25 2023

Wall Time:      118.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:26 2023
Timers Off: Sun Nov 12 11:30:25 2023

Wall Time:      118.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:26 2023
Timers Off: Sun Nov 12 11:30:25 2023

Wall Time:      118.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:12 2023
Timers Off: Sun Nov 12 11:32:28 2023

Wall Time:       76.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.783w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.969w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.832w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.469w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.119w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.737w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.036w     80 calls
HF: Guess                           :      0.000u      0.000s      7.505w     80 calls
SAD Guess                           :      0.000u      0.000s      7.338w     80 calls
HF: Form G                          :      0.000u      0.000s      0.369w    703 calls
JK: D                               :      0.000u      0.000s      0.014w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.036w    703 calls
JK: JK                              :      0.000u      0.000s      0.265w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.260w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.074w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.154w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.024w    703 calls
HF: Form F                          :      0.000u      0.000s      0.024w    703 calls
HF: Form D                          :      0.000u      0.000s      0.011w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.279w    623 calls
HF: Form C                          :      0.000u      0.000s      0.732w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.783w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.544w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.832w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.425w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.469w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.119w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.737w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.036w     80 calls
HF: Guess                           :      0.000u      0.000s      7.505w     80 calls
| SAD Guess                         :      0.000u      0.000s      7.338w     80 calls
HF: Form G                          :      0.000u      0.000s      0.369w    703 calls
| JK: D                             :      0.000u      0.000s      0.014w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.036w    703 calls
| JK: JK                            :      0.000u      0.000s      0.265w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.260w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.074w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.154w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.024w    703 calls
HF: Form F                          :      0.000u      0.000s      0.024w    703 calls
HF: Form D                          :      0.000u      0.000s      0.011w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.279w    623 calls
HF: Form C                          :      0.000u      0.000s      0.732w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:12 2023
Timers Off: Sun Nov 12 11:32:28 2023

Wall Time:       76.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.802w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.979w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.908w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.483w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.116w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.727w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.044w     80 calls
HF: Guess                           :      0.000u      0.000s      7.296w     80 calls
SAD Guess                           :      0.000u      0.000s      7.125w     80 calls
HF: Form G                          :      0.000u      0.000s      0.374w    703 calls
JK: D                               :      0.000u      0.000s      0.014w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.035w    703 calls
JK: JK                              :      0.000u      0.000s      0.269w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.264w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.075w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.157w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.024w    703 calls
HF: Form F                          :      0.000u      0.000s      0.018w    703 calls
HF: Form D                          :      0.000u      0.000s      0.011w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.360w    623 calls
HF: Form C                          :      0.000u      0.000s      0.763w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.802w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.554w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.908w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.426w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.483w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.116w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.727w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.044w     80 calls
HF: Guess                           :      0.000u      0.000s      7.296w     80 calls
| SAD Guess                         :      0.000u      0.000s      7.125w     80 calls
HF: Form G                          :      0.000u      0.000s      0.374w    703 calls
| JK: D                             :      0.000u      0.000s      0.014w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.035w    703 calls
| JK: JK                            :      0.000u      0.000s      0.269w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.264w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.075w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.157w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.024w    703 calls
HF: Form F                          :      0.000u      0.000s      0.018w    703 calls
HF: Form D                          :      0.000u      0.000s      0.011w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.360w    623 calls
HF: Form C                          :      0.000u      0.000s      0.763w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:12 2023
Timers Off: Sun Nov 12 11:32:28 2023

Wall Time:       76.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.805w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.970w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.821w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.460w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.104w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.879w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.037w     80 calls
HF: Guess                           :      0.000u      0.000s      7.576w     80 calls
SAD Guess                           :      0.000u      0.000s      7.394w     80 calls
HF: Form G                          :      0.000u      0.000s      0.391w    703 calls
JK: D                               :      0.000u      0.000s      0.015w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.035w    703 calls
JK: JK                              :      0.000u      0.000s      0.286w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.280w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.080w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.167w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.025w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.491w    623 calls
HF: Form C                          :      0.000u      0.000s      0.730w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.805w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.564w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.821w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.406w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.460w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.104w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.879w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.037w     80 calls
HF: Guess                           :      0.000u      0.000s      7.576w     80 calls
| SAD Guess                         :      0.000u      0.000s      7.394w     80 calls
HF: Form G                          :      0.000u      0.000s      0.391w    703 calls
| JK: D                             :      0.000u      0.000s      0.015w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.035w    703 calls
| JK: JK                            :      0.000u      0.000s      0.286w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.280w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.080w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.167w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.025w    703 calls
HF: Form F                          :      0.000u      0.000s      0.020w    703 calls
HF: Form D                          :      0.000u      0.000s      0.012w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.491w    623 calls
HF: Form C                          :      0.000u      0.000s      0.730w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:09 2023
Timers Off: Sun Nov 12 11:32:28 2023

Wall Time:       79.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:09 2023
Timers Off: Sun Nov 12 11:32:28 2023

Wall Time:       79.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:09 2023
Timers Off: Sun Nov 12 11:32:28 2023

Wall Time:       79.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:12 2023
Timers Off: Sun Nov 12 11:32:29 2023

Wall Time:       77.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.806w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.981w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.743w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.445w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.117w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.462w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.037w     80 calls
HF: Guess                           :      0.000u      0.000s      7.326w     80 calls
SAD Guess                           :      0.000u      0.000s      7.138w     80 calls
HF: Form G                          :      0.000u      0.000s      0.371w    703 calls
JK: D                               :      0.000u      0.000s      0.014w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.035w    703 calls
JK: JK                              :      0.000u      0.000s      0.268w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.263w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.073w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.157w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.023w    703 calls
HF: Form F                          :      0.000u      0.000s      0.017w    703 calls
HF: Form D                          :      0.000u      0.000s      0.011w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.183w    623 calls
HF: Form C                          :      0.000u      0.000s      0.716w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.806w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.566w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.743w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.415w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.445w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.117w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.462w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.037w     80 calls
HF: Guess                           :      0.000u      0.000s      7.326w     80 calls
| SAD Guess                         :      0.000u      0.000s      7.138w     80 calls
HF: Form G                          :      0.000u      0.000s      0.371w    703 calls
| JK: D                             :      0.000u      0.000s      0.014w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.035w    703 calls
| JK: JK                            :      0.000u      0.000s      0.268w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.263w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.073w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.157w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.023w    703 calls
HF: Form F                          :      0.000u      0.000s      0.017w    703 calls
HF: Form D                          :      0.000u      0.000s      0.011w    703 calls
HF: DIIS                            :      0.000u      0.000s      7.183w    623 calls
HF: Form C                          :      0.000u      0.000s      0.716w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:31:09 2023
Timers Off: Sun Nov 12 11:32:29 2023

Wall Time:       80.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:31 2023
Timers Off: Sun Nov 12 11:58:38 2023

Wall Time:       66.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.656w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.776w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.624w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.440w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.100w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.808w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.040w     80 calls
HF: Guess                           :      0.000u      0.000s      6.433w     80 calls
SAD Guess                           :      0.000u      0.000s      6.288w     80 calls
HF: Form G                          :      0.000u      0.000s      0.293w    703 calls
JK: D                               :      0.000u      0.000s      0.012w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.030w    703 calls
JK: JK                              :      0.000u      0.000s      0.207w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.202w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.060w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.116w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.019w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.084w    623 calls
HF: Form C                          :      0.000u      0.000s      0.609w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.656w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.449w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.624w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.327w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.440w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.100w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.808w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.040w     80 calls
HF: Guess                           :      0.000u      0.000s      6.433w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.288w     80 calls
HF: Form G                          :      0.000u      0.000s      0.293w    703 calls
| JK: D                             :      0.000u      0.000s      0.012w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.030w    703 calls
| JK: JK                            :      0.000u      0.000s      0.207w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.202w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.060w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.116w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.019w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.084w    623 calls
HF: Form C                          :      0.000u      0.000s      0.609w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:31 2023
Timers Off: Sun Nov 12 11:58:38 2023

Wall Time:       66.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.636w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.766w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.543w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.429w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.091w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.120w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.033w     80 calls
HF: Guess                           :      0.000u      0.000s      7.068w     80 calls
SAD Guess                           :      0.000u      0.000s      6.937w     80 calls
HF: Form G                          :      0.000u      0.000s      0.304w    703 calls
JK: D                               :      0.000u      0.000s      0.011w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.029w    703 calls
JK: JK                              :      0.000u      0.000s      0.222w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.217w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.070w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.120w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.019w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.137w    623 calls
HF: Form C                          :      0.000u      0.000s      0.646w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.636w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.428w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.543w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.338w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.429w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.091w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.120w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.033w     80 calls
HF: Guess                           :      0.000u      0.000s      7.068w     80 calls
| SAD Guess                         :      0.000u      0.000s      6.937w     80 calls
HF: Form G                          :      0.000u      0.000s      0.304w    703 calls
| JK: D                             :      0.000u      0.000s      0.011w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.029w    703 calls
| JK: JK                            :      0.000u      0.000s      0.222w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.217w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.070w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.120w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.019w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.137w    623 calls
HF: Form C                          :      0.000u      0.000s      0.646w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:31 2023
Timers Off: Sun Nov 12 11:58:38 2023

Wall Time:       66.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.636w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.778w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.654w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.458w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.102w     80 calls
